@RELATION devices
@ATTRIBUTE sensor_id REAL
@ATTRIBUTE data REAL
@ATTRIBUTE microstamp REAL
@ATTRIBUTE device_microstamp REAL
@ATTRIBUTE class {microwave, tv}
@DATA
55,3.135,1414371635898759,1414371635898759,microwave
55,3.135,1414371635931216,1414371635931216,microwave
55,3.135,1414371635959164,1414371635959164,microwave
54,95,1414371648240966,1414371648240966,microwave
54,151,1414371648241383,1414371648241383,microwave
54,180,1414371648241800,1414371648241800,microwave
54,151,1414371648242216,1414371648242216,microwave
54,67,1414371648242633,1414371648242633,microwave
54,-44,1414371648243050,1414371648243050,microwave
54,-161,1414371648243466,1414371648243466,microwave
54,-260,1414371648243883,1414371648243883,microwave
54,-377,1414371648244300,1414371648244300,microwave
54,-509,1414371648244717,1414371648244717,microwave
54,-649,1414371648245134,1414371648245134,microwave
54,-753,1414371648245550,1414371648245550,microwave
54,-815,1414371648245967,1414371648245967,microwave
54,-814,1414371648246384,1414371648246384,microwave
54,-748,1414371648246800,1414371648246800,microwave
54,-640,1414371648247217,1414371648247217,microwave
54,-506,1414371648247634,1414371648247634,microwave
54,-389,1414371648248051,1414371648248051,microwave
54,-276,1414371648248468,1414371648248468,microwave
54,-125,1414371648248884,1414371648248884,microwave
54,-116,1414371648249301,1414371648249301,microwave
54,-144,1414371648249718,1414371648249718,microwave
54,-130,1414371648250134,1414371648250134,microwave
54,-57,1414371648250551,1414371648250551,microwave
54,52,1414371648250968,1414371648250968,microwave
54,167,1414371648251385,1414371648251385,microwave
54,272,1414371648251802,1414371648251802,microwave
54,384,1414371648252218,1414371648252218,microwave
54,504,1414371648252635,1414371648252635,microwave
54,629,1414371648253052,1414371648253052,microwave
54,727,1414371648253468,1414371648253468,microwave
54,770,1414371648253885,1414371648253885,microwave
54,755,1414371648254302,1414371648254302,microwave
54,687,1414371648254719,1414371648254719,microwave
54,604,1414371648255136,1414371648255136,microwave
54,499,1414371648255552,1414371648255552,microwave
54,394,1414371648255969,1414371648255969,microwave
54,291,1414371648256386,1414371648256386,microwave
54,158,1414371648256802,1414371648256802,microwave
54,140,1414371648257219,1414371648257219,microwave
54,179,1414371648257636,1414371648257636,microwave
54,173,1414371648258053,1414371648258053,microwave
54,103,1414371648258470,1414371648258470,microwave
54,-1,1414371648258886,1414371648258886,microwave
